game_id,play_id,passer_player_name,passer_player_id,posteam,complete_pass,interception,yards_gained,touchdown,pass_location,pass_length,air_yards,yards_after_catch,shotgun,no_huddle,defteam,posteam_type,yardline_100,side_of_field,down,qtr,half_seconds_remaining,game_half,home_team,away_team,home_score,away_score,target_player_id,target_player_name,had_pass_reception,motion_since_lineset,route_ran,offense_formation,target_x,target_y,time_to_throw
2022091107,202,L.Jackson,00-0034796,BAL,1,0,4,0,right,short,-4,8,0,0,NYJ,away,72,BAL,1,1,1722,Half1,NYJ,BAL,9,24,53456,Rashod Bateman,1,FALSE,CROSS,SINGLEBACK,34.61,14.9,3.37
2022091107,230,L.Jackson,00-0034796,BAL,1,0,4,0,left,short,3,1,1,1,NYJ,away,68,BAL,2,1,1701,Half1,NYJ,BAL,9,24,52500,Devin Duvernay,1,FALSE,HITCH,SHOTGUN,45.89,35.99,1.768
2022091107,301,L.Jackson,00-0034796,BAL,1,0,8,0,left,short,2,6,1,0,NYJ,away,60,BAL,2,1,1579,Half1,NYJ,BAL,9,24,52500,Devin Duvernay,1,FALSE,OUT,EMPTY,52.32,39.62,1.802
2022091107,412,J.Flacco,00-0026158,NYJ,1,0,3,0,left,short,3,0,1,0,BAL,home,91,NYJ,2,1,1451,Half1,NYJ,BAL,9,24,54501,Breece Hall,1,FALSE,ANGLE,SHOTGUN,21.900000000000006,32.38,2.603
2022091107,511,J.Flacco,00-0026158,NYJ,0,0,0,0,right,deep,16,NA,1,0,BAL,home,82,NYJ,3,1,1336,Half1,NYJ,BAL,9,24,44817,Corey Davis,0,TRUE,IN,SHOTGUN,43.42,17.85,2.589
2022091107,552,L.Jackson,00-0034796,BAL,0,0,0,0,middle,short,11,NA,1,0,NYJ,away,66,BAL,1,1,1325,Half1,NYJ,BAL,9,24,54604,Isaiah Likely,0,FALSE,POST,PISTOL,54.56,35.74,2.068
2022091107,595,L.Jackson,00-0034796,BAL,0,0,0,0,right,short,5,NA,1,0,NYJ,away,65,BAL,3,1,1273,Half1,NYJ,BAL,9,24,54604,Isaiah Likely,0,FALSE,OUT,EMPTY,49.3,12.82,2.536
2022091107,636,J.Flacco,00-0026158,NYJ,1,0,24,0,left,deep,21,3,0,0,BAL,home,83,NYJ,1,1,1261,Half1,NYJ,BAL,9,24,53463,Elijah Moore,1,FALSE,HITCH,SINGLEBACK,47.68000000000001,36.08,3.403
2022091107,697,J.Flacco,00-0026158,NYJ,0,1,0,0,middle,short,14,NA,1,0,BAL,home,68,NYJ,1,1,1207,Half1,NYJ,BAL,9,24,53047,Lawrence Cager,0,FALSE,HITCH,EMPTY,55.22,31.08,2.236
2022091107,744,L.Jackson,00-0034796,BAL,1,0,8,0,right,short,3,5,1,0,NYJ,away,14,NYJ,2,1,1148,Half1,NYJ,BAL,9,24,43415,Demarcus Robinson,1,TRUE,OUT,SHOTGUN,99.08,7.63,1.904
2022091107,768,L.Jackson,00-0034796,BAL,0,0,0,0,middle,short,0,NA,1,0,NYJ,away,6,NYJ,3,1,1104,Half1,NYJ,BAL,9,24,54604,Isaiah Likely,0,FALSE,SLANT,SHOTGUN,111.08,22.23,2.702
2022091107,824,J.Flacco,00-0026158,NYJ,0,0,0,0,middle,short,0,NA,0,0,BAL,home,75,NYJ,1,1,1096,Half1,NYJ,BAL,9,24,44817,Corey Davis,0,FALSE,CORNER,SINGLEBACK,49.18000000000001,12.83,2.69
2022091107,846,J.Flacco,00-0026158,NYJ,0,0,0,0,left,short,-1,NA,1,0,BAL,home,75,NYJ,2,1,1091,Half1,NYJ,BAL,9,24,54501,Breece Hall,0,FALSE,SCREEN,EMPTY,33.41,42.75,1.268
2022091107,868,J.Flacco,00-0026158,NYJ,1,0,9,0,right,short,1,8,1,0,BAL,home,75,NYJ,3,1,1087,Half1,NYJ,BAL,9,24,54475,Garrett Wilson,1,FALSE,OUT,SHOTGUN,36.760000000000005,1.68,4.641
